ID	representative	average_score	family_size	rotation_matrix	rotation_type
3001498	7K1S_C_115_736	0.771823076923077	13	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000778	1O8R_A_1_94		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002813	4CPC_E_82_224	1.0	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002679	4N9N_A_604_716	0.77195	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000912	4HEI_B_1_91	0.8342857142857143	7	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001008	3FT9_A_2_95	0.9306666666666666	3	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001834	1QZX_A_1_84	0.781190909090909	14	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002646	3K6G_F_281_313		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002474	6SGS_F_1_37		3	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000323	1R5Z_A_3_322		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002010	3AHQ_A_34_465	0.8719	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001695	1A92_A_12_60		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000747	1M1C_A_1_651		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000575	2GTL_N_10_60		3	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002222	3TEL_A_224_481	0.8361818181818182	11	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001661	2FFG_A_2_79		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001453	7BKE_D_5_562	0.80859375	16	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000581	1QGT_A_1_142	0.930075	8	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001037	1JBI_A_1_100		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002480	3C6F_A_170_230	0.92835	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001205	1R6E_A_73_240	0.6327333333333334	6	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001659	2CXF_A_83_249		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001833	1D6Z_A_7_90		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000129	6SJ5_A_1_112	0.4890630434782609	51	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000915	1ZRU_C_2_140	0.72815	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002814	2L9D_A_2_108		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002028	2YV4_A_236_340	0.8625499999999999	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002487	4F55_A_136_259	0.7146	4	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001202	1SKV_A_2_63		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001030	1SG7_A_22_96		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000586	5DLC_A_13_254	0.9635	6	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001666	1IFL_A_1_53		8	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000572	1XI8_A_6_181	0.8779199999999999	5	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002225	1VZ6_A_262_390		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002017	5ZTJ_A_536_839	0.9173666666666668	6	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3001692	1T50_A_1_58		1	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3000740	1UUZ_A_1_129	0.8613500000000001	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3002473	5L8X_A_1_170	0.989	2	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
